イワシの梅しそ揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,イワシの梅しそ揚,いわしのうめしそよう,いわしのうめしそよう,*,*,*,*,*
海老カツ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,海老カツ,えびかつ,えびかつ,*,*,*,*,*
あんこうの唐揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,あんこうの唐揚,あんこうのからあげ,あんこうのからあげ,*,*,*,*,*
山芋磯辺揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,山芋磯辺揚,やまいもいそべよう,やまいもいそべよう,*,*,*,*,*
まるごとカレイ唐揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,まるごとカレイ唐揚,まるごとかれいからあげ,まるごとかれいからあげ,*,*,*,*,*
なすあげ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,なすあげ,なすあげ,なすあげ,*,*,*,*,*
ポテトフライ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ポテトフライ,ぽてとふらい,ぽてとふらい,*,*,*,*,*
マグロ竜田揚,1287,1287,5000,名詞,普通名詞,一般,*,*,*,マグロ竜田揚,まぐろたつたよう,まぐろたつたよう,*,*,*,*,*
カキフライ,1287,1287,5000,名詞,普通名詞,一般,*,*,*,カキフライ,かきふらい,かきふらい,*,*,*,*,*
揚げそばチャンポン,1287,1287,5000,名詞,普通名詞,一般,*,*,*,揚げそばチャンポン,あげそばちゃんぽん,あげそばちゃんぽん,*,*,*,*,*
デカイおにぎり,1287,1287,5000,名詞,普通名詞,一般,*,*,*,デカイおにぎり,でかいおにぎり,でかいおにぎり,*,*,*,*,*
海老天,1287,1287,5000,名詞,普通名詞,一般,*,*,*,海老天,えびてん,えびてん,*,*,*,*,*
イカゲソ天,1287,1287,5000,名詞,普通名詞,一般,*,*,*,イカゲソ天,いかげそてん,いかげそてん,*,*,*,*,*
アナゴ天,1287,1287,5000,名詞,普通名詞,一般,*,*,*,アナゴ天,あなごてん,あなごてん,*,*,*,*,*
メゴチ天,1287,1287,5000,名詞,普通名詞,一般,*,*,*,メゴチ天,めごちてん,めごちてん,*,*,*,*,*
島らっきょ天,1287,1287,5000,名詞,普通名詞,一般,*,*,*,島らっきょ天,しまらっきょてん,しまらっきょてん,*,*,*,*,*
牛タン焼き,1287,1287,5000,名詞,普通名詞,一般,*,*,*,牛タン焼き,ぎゅうたんやき,ぎゅうたんやき,*,*,*,*,*
まぐろカマ焼,1287,1287,5000,名詞,普通名詞,一般,*,*,*,まぐろカマ焼,まぐろかまやき,まぐろかまやき,*,*,*,*,*
ぶりカマ焼,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ぶりカマ焼,ぶりかまやき,ぶりかまやき,*,*,*,*,*
ホッケ焼,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ホッケ焼,ほっけやき,ほっけやき,*,*,*,*,*
コマイ一夜干し,1287,1287,5000,名詞,普通名詞,一般,*,*,*,コマイ一夜干し,こまいいちやほし,こまいいちやほし,*,*,*,*,*
ホタテ串焼,1287,1287,5000,名詞,普通名詞,一般,*,*,*,ホタテ串焼,ほたてくしやき,ほたてくしやき,*,*,*,*,*
